longitude;latitude;color
-1.613157;54.973847;black
-1.782248;53.646665;cornflowerblue
-3.945925;51.619596;papayawhip
-1.901916;50.728777;crimson
0.121487;50.783579;aqua
-2.24392;53.790726;firebrick
-1.133079;52.63614;blue
-0.01635;51.53846;dodgerblue
-2.181261;53.016201;deeppink
-0.395742;51.655388;yellow
-2.966454;53.438719;navy
-1.992311;52.518658;silver
-2.200252;53.483091;paleturquoise
-0.066235;51.604192;mediumorchid
-0.085255;51.398243;orange
-1.404189;50.902535;sienna
-2,960909;53.430835;red
-0.191964;51.481687;lime
-2.291386;53.46311;tomato
-0.105166246;51.552997788;purple
